name,latitude,longitude,address,provider,connectors,online,kilowatts,twenty_four_hours
The Alpha,1.288651017,103.7796567,"10 Science Park Rd, Singapore 117684",SPMobility,4,TRUE,9,TRUE
Connexion,1.314288263,103.8537759,"1 Farrer Park Station Rd, Singapore 217562",SPMobility,4,TRUE,9,FALSE
Nordcom One,1.44587857,103.8141897,"3 Gambas Cres, Singapore 757041",SPMobility,6,TRUE,11,FALSE
Rivervale Mall,1.392589411,103.9044433,"11 Rivervale Cres, Singapore 545082",SPMobility,6,TRUE,14,FALSE
Hyflux Innovation Centre,1.317649431,103.863362,"80 Bendemeer Rd, Singapore 339949",SPMobility,4,TRUE,24,FALSE
3 Changi Business Park Vista,1.336982614,103.9671233,"3 Changi Business Park Vista, Singapore 486051",SPMobility,4,TRUE,28,FALSE
Aperia Mall,1.31072615,103.8642956,"12 Kallang Ave, Singapore 339511",SPMobility,4,TRUE,11,TRUE
Singapore Zoo,1.404595188,103.7930659,"80 Mandai Lake Rd, 729826",SPMobility,10,TRUE,13,FALSE
Entrepreneur Business Centre,1.33760001,103.9027875,"18 Kaki Bukit Rd 3, Singapore 415978",SPMobility,4,TRUE,28,FALSE
Techplace I,1.360652341,103.8567675,"4008/ 4009/ 4010, 4012 Ang Mo Kio Ave 10, 569628",SPMobility,4,TRUE,11,FALSE
Orchid Country Club,1.412000406,103.8443433,"1 Orchid Club Rd, Singapore 769162",SPMobility,4,TRUE,19,TRUE
United Square,1.319627714,103.8437625,"101 Thomson Rd, Singapore 307591",SPMobility,4,TRUE,13,FALSE
Novena Square,1.320104299,103.8439797,"238 Thomson Rd, Singapore 307683",SPMobility,6,TRUE,13,FALSE
Sembawang Country Club,1.417491348,103.8156104,"249 Sembawang Rd, Singapore 758352",SPMobility,4,TRUE,22,TRUE
"Resorts World Sentosa B2, East B1, West B1",1.255340599,103.8218054,"8 Sentosa Gateway, 098269",SPMobility,2,TRUE,42,FALSE
SGX Centre 2,1.278917617,103.8492547,"4 Shenton Way, Singapore 068807",SPMobility,4,TRUE,12,FALSE
Resorts World Sentosa B2 (VIP),1.255335497,103.8216869,"8 Sentosa Gateway, 098269",SPMobility,2,TRUE,30,FALSE
Tagore 23 Warehouse,1.385552073,103.8280876,"23 Tagore Ln, Singapore 787601",SPMobility,4,TRUE,19,FALSE
Park Royal Pickering,1.286001569,103.8460157,"3 Upper Pickering St, Singapore 058289",SPMobility,2,TRUE,20,TRUE
Vivocity,1.264649902,103.8222178,"1 HarbourFront Walk, Singapore 098585",SPMobility,4,TRUE,8,FALSE
Tan Chin Tuan Mansion (Private access only),1.30552085,103.8373841,"42 Cairnhill Rd, Singapore 229661",SPMobility,2,TRUE,43,TRUE
Odeon Towers,1.296507751,103.8532188,"331 North Bridge Road Odeon Towers, Singapore 188720",SPMobility,4,TRUE,12,FALSE
Techplace II,1.377471459,103.8651091,"5012 Ang Mo Kio Ave 5, Singapore 569876",SPMobility,4,TRUE,12,FALSE
Temasek Club,1.347400605,103.7803819,"131 Rifle Range Rd, Singapore 588406",SPMobility,4,TRUE,12,FALSE
Republic Plaza,1.283362096,103.8508778,"9 Raffles Pl, Singapore 048619",SPMobility,4,TRUE,14,FALSE
Great World,1.293845495,103.8318864,"1 Kim Seng Promenade, Singapore 237994",SPMobility,4,TRUE,11,FALSE
Meissa,1.276482001,103.7959618,"100D Pasir Panjang Rd, Singapore 118520",SPMobility,5,TRUE,6,FALSE
West Park BizCentral,1.313618571,103.6949758,"20 Pioneer Cres, Singapore 628555",SPMobility,4,TRUE,20,FALSE
Liat Towers,1.305471376,103.8305261,"541 Orchard Rd, Singapore 238881",SPMobility,4,TRUE,11,FALSE
Alexandra Technopark Block A,1.277705489,103.8008662,"438A &, 438B Alexandra Rd, 119967",SPMobility,8,TRUE,28,FALSE
The Galen,1.286503026,103.7841567,"61 Science Park Road, Singapore 117525",SPMobility,10,TRUE,9,TRUE
HSL Waterfront@Penjuru,1.306245038,103.7306316,"42D Penjuru Rd, Singapore 609162",SPMobility,4,TRUE,22,TRUE
Ascent,1.291295492,103.7858566,"2 Science Park Dr, Singapore 118222",SPMobility,4,TRUE,6,TRUE
